#,Artist,Monthly Listeners,Followers
147,Marsha Ambrosius,"210,923","553,844"
148,KeKe Wyatt,"171,273","725,464"
149,Kandi,"159,711","214,858"
150,Tank,"158,391","26,570"
151,DAY26,"128,422","314,661"
152,Tiffany Evans,"89,664","347,839"
153,Brooke Valentine,"85,258","278,236"
154,Dondria,"84,786","225,237"
155,Teairra Marí,"57,312","282,111"
156,LeToya Luckett,"43,463","456,331"
157,Dallas Blocker,"1,491","1,139"
