#,Artist,Monthly Listeners,Followers
160,Mighty Mighty,"2,063","2,825"
161,The Chesterfields,"1,920","2,453"
162,Joveth,"1,913",182
163,Nick Hames,"1,910","4,261"
164,The City Comes Alive,"1,904",62
165,Matt Hugg,"1,899",228
166,Northern Portrait,"1,875","2,817"
167,Friends from the Sea,"1,867",56
168,Keira,"1,812",44
169,BEBELUNA,"1,807","3,427"
170,Marie Nicole,"1,743",39
171,Ayu Iska,"1,718",4
172,Tender Trap,"1,699","3,591"
173,David & The Citizens,"1,653","1,727"
174,Mandar Agashe,"1,650",64
175,Razorcuts,"1,635","3,655"
176,Jeybriski,"1,613",157
177,Rewan Riko,"1,613",44
178,Standard Fare,"1,597","2,904"
179,Boyracer,"1,586","3,314"
180,SOIII,"1,579",179
181,Shoestrings,"1,564","1,982"
182,The June Brides,"1,553","2,757"
183,The Royal Landscaping Society,"1,542",425
184,mekel,"1,540",702
185,Stacy Still,"1,536",85
186,Itchy Richie,"1,501",16
187,Mandar Agashe,"1,499",8
188,Kinnecom,"1,492","5,182"
189,The Smittens,"1,492","2,025"
190,Evil Sweet,"1,487","3,888"
191,George Whistler,"1,486","9,321"
192,Robin John Harrington,"1,434",281
193,Yoni,"1,416",65
194,Moar Coffee,"1,410",166
195,Maven,"1,389",87
196,Zeke Khaseli,"1,359",702
197,Jenny Palacios,"1,349",826
198,Via Nusena,"1,341",11
199,The Sugargliders,"1,325","2,282"
200,Dusty Lucite,"1,322",61
201,Floor Four,"1,316",155
202,Mawness,"1,316",235
203,PatRiff,"1,288",165
204,St. Christopher,"1,262","1,811"
205,Cunliffe,"1,250",55
206,Viv.,"1,248",180
207,La Vuelta al Mundo,"1,239",433
208,Fosternicole,"1,234",257
209,LOCURA AUTOMATIC,"1,230",3
210,Nickalus Lindale,"1,227",33
211,Christian Bunales,"1,207",103
212,Pally Ink,"1,202",52
213,Micah Jasper,"1,194",408
214,Luke Top,"1,193",465
215,Stephen Richard Hale,"1,187",173
216,Brideshead,"1,185","1,306"
217,Steven Rockwell,"1,180",120
218,The Lucksmiths,"1,158",70
219,Din Farfars Orkester,"1,150",157
220,MayFall,"1,141",69
221,Barreca,"1,124",261
222,Mahagani,"1,111",28
223,Dick Safari,"1,105",82
224,Red Sleeping Beauty,"1,105","1,699"
225,Vinod Tiger,"1,104",23
226,Odd Martian,"1,090",81
227,The Windmills,"1,085",217
228,Mantel Fox,"1,082",66
229,Jake Miagra,"1,079",52
230,Connexion Man,"1,075",116
231,tHE bLUE rOOM,"1,053",192
232,faded cassettes,"1,047",130
233,Jarése,"1,041",189
234,Don Gunn,"1,032",85
235,medellin,"1,030",22
236,Stell and the Comedown Club,"1,029",117
